"Search Criteria:"

"Lease Type: Both"
"Original Authority Date: 09/20/2017 to 09/20/2018"

"UIC No.","API No.",District,"Lease No.","Lease Name","Well No.","Field Name","Operator Name",County,Oil/Gas,"Formation Names"
000116033,32941345,08,43735,"SOA SCHARBAUER SE",0053WB,"PARKS (CONSOLIDATED)","CHEVRON U. S. A. INC.",MIDLAND,Oil,"WOLFCAMP B"
000116034,32942144,08,000000,,2D,,,MIDLAND,,"SAN ANDRES"
000116035,22700000,08,000000,,2,,,HOWARD,,"PENN, CISCO, CANYON, STRAWN, ATOKA, MISSISSIPPIAN,, SILURIAN, DEVONIAN, FUSSELLMAN"
000116036,49932145,06,11361,"YANTIS FIELD UNIT",4001,YANTIS,"BLOCK ""T"" PETROLEUM, INC.",WOOD,Oil,BLALOCK
000116037,49931124,06,11361,"YANTIS FIELD UNIT",1702,YANTIS,"BLOCK ""T"" PETROLEUM, INC.",WOOD,Oil,BLALOCK
000116038,39100477,02,08569,"TOM O'CONNOR (5730 FT. SD.) UNIT","A 47","TOM O'CONNOR (5730, EAST)","HILCORP ENERGY COMPANY",REFUGIO,Oil,FRIO
000116039,21937424,8A,05955,"COONS, W. A.",79W,SLAUGHTER,"APACHE CORPORATION",HOCKLEY,Oil,"SAN ANDRES"
000116040,48545471,09,15682,"MITCHELL -H-","H 25",K-M-A,"QUATRO OIL AND GAS, INC.",WICHITA,Oil,K-M-A
000116041,48732263,09,06506,"WHEELER, DONIA",10BB,"WILBARGER COUNTY REGULAR","ACADIA OIL, LLC",WILBARGER,Oil,"CISCO SAND"
000116042,48543233,09,09697,"WAGGONER, W. T., ESTATE -MMM-",7,"WICHITA COUNTY REGULAR","ACADIA OIL, LLC",WICHITA,Oil,"CISCO SAND"
000116043,49533969,08,47618,"CAMPBELL, SETH",111W,"KEYSTONE (CONSOLIDATED)","APACHE CORPORATION",WINKLER,Oil,"CLEAR FORK"
000116044,50131977,8A,70709,MORLEY-HUDSON,1,"HUDSON-MORLEY (SILURO-DEV.)","MAMMOTH EXPLORATION LLC",YOAKUM,Oil,"GLORIETA, CLEAR FORK UP, TUBB, CLEAR FORK LO, WICHITA-ALBANY, ABO, WOLFCAMP, CISCO, CANYON, STRAWN, ATOKA, CHESTER, MISSISSIPPISAN, WOODFORD, SILURIAN, DEVONIAN"
000116045,47500000,08,000000,,1W,,,WARD,,"DELAWARE MOUNTAIN GROUP, BELL CANYON, CHERRY CANYON, BRUSHY CANYON"
000116046,03933303,03,14753,"DOW FEE",12A,"STRATTON RIDGE","DOW CHEMICAL COMPANY, THE",BRAZORIA,Oil,"STRATTON RIDGE SALT DOME"
000116047,22700000,08,000000,,5D,,,HOWARD,,ELLENBURGER
000116048,35130306,03,11896,"KURTH, J.H. JR.",4,"BLUE MARSH (Y-2)","INDIAN EXPLORATION, INC.",NEWTON,Oil,"MASSIVE FRIO"
000116049,19933602,03,284508,SEBASTIAN,2D,"BRADLEY, SOUTH (YEGUA 8100)","WHITEHEAD RESOURCES, LTD.",HARDIN,Gas,MIOCENE
000116050,00347749,08,000000,,1D,,,ANDREWS,,DEVONIAN
000116051,20732328,7B,27314,DIAMOND,53,"HUMPHREY-CHAPMAN, E. (CANYON SD)","BRIDWELL OIL CO.",HASKELL,Oil,CANYON
000116052,22700000,08,000000,,1,,,HOWARD,,"CLEAR FORK"
000116053,39133183,02,03458,"FOX, W. J. -A-",51,"REFUGIO-FOX (5800)","HILCORP ENERGY COMPANY",REFUGIO,Oil,FRIO
000116054,39133184,02,03458,"FOX, W. J. -A-",52,"REFUGIO-FOX (5800)","HILCORP ENERGY COMPANY",REFUGIO,Oil,FRIO
000116055,07100000,03,26653,SWD,10,"BARBERS HILL","TARGA DOWNSTREAM LLC",CHAMBERS,Oil,FRIO
000116056,50342066,09,32298,"WAYNE LOWRANCE",2,"BRYSON, EAST","PRYOR PETROLEUM CORPORATION",YOUNG,Oil,BRYSON
000116057,47937230,04,173079,"PALAFOX EXPLORATION CO. -20A-",1,"GOLD RIVER, NORTH (OLMOS)","FASKEN OIL AND RANCH, LTD.",WEBB,Gas,
000116058,40932057,04,12594,"WELDER, MINNIE S.",69D,"PORTILLA (FRIO)","FROSTWOOD ENERGY, LLC","SAN PATRICIO",Oil,FRIO
000116059,41332989,7C,19727,"THORNBURG 27",15,"CAMAR, SW. (STRAWN 4350)","BOAZ ENERGY II OPERATING, LLC",SCHLEICHER,Oil,STRAWN
000116060,30133888,08,50310,"VJ SWD",1,"PONDITO (CHERRY CANYON)","MESQUITE SWD INC",LOVING,Oil,DELAWARE
000116061,30100000,08,000000,,3,,,LOVING,,DELAWARE
000116062,30100000,08,000000,,4,,,LOVING,,DELAWARE
000116063,30133889,08,50310,"VJ SWD",5,"PONDITO (CHERRY CANYON)","MESQUITE SWD INC",LOVING,Oil,DELAWARE
000116064,30133890,08,000000,,6,,,LOVING,,DELAWARE
000116065,38936579,08,50070,"ZENYATTA SWD",1,"WOLFBONE (TREND AREA)","WATERBRIDGE TEXAS OPERATING LLC",REEVES,Oil,"DELAWARE SANDS"
000116066,22739186,08,000000,,2D,,,HOWARD,,ELLENBURGER
000116067,49533914,08,000000,,1W,,,WINKLER,,"DELAWARE, BELL CANYON, CHERRY CANYON"
000116068,13540463,08,40858,"TXL SOUTH 19",1,"GOLDSMITH (CLEAR FORK)","INCLINE ENERGY",ECTOR,Oil,"CLEAR FORK"
000116069,40932119,04,209887,"WELDER, MINNIE S.",71,"PORTILLA (7050 SAND)","FROSTWOOD ENERGY, LLC","SAN PATRICIO",Gas,FRIO
000116070,40932178,04,12594,"WELDER, MINNIE S.",73,"PORTILLA (FRIO)","FROSTWOOD ENERGY, LLC","SAN PATRICIO",Oil,FRIO
000116071,49533915,08,000000,,1W,,,WINKLER,,"DELAWARE, BELL CANYON, CHERRY CANYON"
000116072,25334977,7B,31847,MILSTEAD,1RE,"JONES COUNTY REGULAR","5L PROPERTIES, INC.",JONES,Oil,"THIRD WALRIP LIME"
000116073,46132352,7C,19895,HAPPLE-THREE,"152 W","HIGHLINE ROOST (STRAWN)","TANKERSLEY SWD LLC",UPTON,Oil,"GRAYBURG, PERMIAN, SAN ANDRES"
000116074,50340342,09,27804,BUTTRAM,2,"YOUNG COUNTY REGULAR","FARMER OPERATING, LLC",YOUNG,Oil,"BEND CONGLOMERATE"
000116075,38936006,08,50369,TARPON,1,"COLLIE (DELAWARE)","WATERBRIDGE TEXAS OPERATING LLC",REEVES,Oil,"BELL CANYON, CHERRY CANYON"
000116076,00347680,8A,69532,TWILIGHT,14,"DEMPSEY CREEK (SAN ANDRES)","TEXLAND PETROLEUM, L.P.",ANDREWS,Oil,"SAN ANDRES"
000116077,38900000,08,000000,,1,,,REEVES,,"BELL CANYON, CHERRY CANYON, DELAWARE GROUP"
000116078,38900000,08,000000,,1,,,REEVES,,"BELL CANYON, CHERRY CANYON"
000116079,50136874,8A,19151,"BENNETT RANCH UNIT",4374,WASSON,"OCCIDENTAL PERMIAN LTD.",YOAKUM,Oil,"SAN ANDRES"
000116080,50136871,8A,19151,"BENNETT RANCH UNIT",4375,WASSON,"OCCIDENTAL PERMIAN LTD.",YOAKUM,Oil,"SAN ANDRES"
000116081,50136883,8A,19151,"BENNETT RANCH UNIT",4416,WASSON,"OCCIDENTAL PERMIAN LTD.",YOAKUM,Oil,"SAN ANDRES"
000116082,50136882,8A,19151,"BENNETT RANCH UNIT",4417,WASSON,"OCCIDENTAL PERMIAN LTD.",YOAKUM,Oil,"SAN ANDRES"
000116083,50136864,8A,19151,"BENNETT RANCH UNIT",4373,WASSON,"OCCIDENTAL PERMIAN LTD.",YOAKUM,Oil,"SAN ANDRES"
000116084,14900000,03,000000,,1,,,FAYETTE,,"EDWARDS, GLEN ROSE"
000116085,43334125,7B,30910,"CORSICA UNIT",45,"CORSICA (BEND CONGLOMERATE)","MID-CON ENERGY OPERATING, LLC",STONEWALL,Oil,"BEND CONGLOERMATE"
000116086,50342186,09,07422,"KEMP, S. B.","11 K","YOUNG COUNTY REGULAR","JUST OIL & GAS, INC.",YOUNG,Oil,GUNSIGHT
000116087,43334086,7B,31968,LACKEY,2,"CORSICA (STRAWN)","MID-CON ENERGY OPERATING, LLC",STONEWALL,Oil,STRAWN
000116088,36130986,03,284569,"LONGLEY SWD",1,"DARTEZ (HACKBERRY)","FIVE-JAB, INC.",ORANGE,Gas,MIOCENE
000116089,10731677,8A,69994,"CLARK WOOD RANCH",1152W,"HOOPLE (CLEAR FORK)","SURGE OPERATING, LLC",CROSBY,Oil,"CLEAR FORK"
000116090,48581543,09,05111,PRECHEL,80,"WICHITA COUNTY REGULAR","FRESNO OIL COMPANY",WICHITA,Oil,CISCO
000116091,43331376,7B,19374,"JONES, WINDY",2,"GLORIA GAY, W. (TANNEHILL, UP.)","PERMEX PETROLEUM CORPORATION",STONEWALL,Oil,TANNEHILL
000116092,31741180,08,21658,"MEEK -D-",5D,"SPRABERRY (TREND AREA)","PIONEER NATURAL RES. USA, INC.",MARTIN,Oil,"SAN ANDRES"
000116093,10933166,08,284517,"HAY BRANDON 19 SWD",1,"GERALDINE, SOUTH (OLDS -A-)","CHEVRON U. S. A. INC.",CULBERSON,Gas,SILURIAN
000116094,22700000,08,000000,,1,,,HOWARD,,"MONTOYA, ELLENBURGER"
000116095,39935061,7C,16324,"GARY-WALLER UNIT",1,"BALLINGER, WEST (JENNINGS)","BOAZ ENERGY II OPERATING, LLC",RUNNELS,Oil,MORRIS
000116096,47500000,08,46726,"ARCO 33-28",21D,"PYOTE BAY (BRUSHY CANYON)","JETTA OPERATING COMPANY, INC.",WARD,Oil,"BRUSHY CANYON"
000116097,32942077,08,000000,,1D,,,MIDLAND,,"SAN ANDRES"
000116098,50335825,09,21929,"MARSHALL ""A""",2,"ARCHER COUNTY REGULAR","AVAD OPERATING, LLC",YOUNG,Oil,CADDO
000116099,38934375,08,46762,"HIGHTOWER STATE UNIT",1H,"PHANTOM (WOLFCAMP)","CENTENNIAL RESOURCE PROD, LLC",REEVES,Oil,"BELL CANYON, CHERRY CANYON"
000116100,41533082,8A,03137,"SACROC UNIT",255-5,KELLY-SNYDER,"KINDER MORGAN PRODUCTION CO LLC",SCURRY,Oil,"CISCO, CANYON REEF"
000116101,10730616,8A,62793,"ROBERTSON, A. L. ""D""",2,"HOOPLE (CLEAR FORK)","SURGE OPERATING, LLC",CROSBY,Oil,"CLEAR FORK"
000116102,38936532,08,48782,"ARGENTINE 71",1D,"PHANTOM (WOLFCAMP)","PDC PERMIAN, INC.",REEVES,Oil,"BELL CANYON, CHERRY CANYON, BRUSHY CANYON"
000116103,46140747,7C,000000,,4D,,,UPTON,,"SAN ANDRES"
000116104,38936315,08,000000,,1,,,REEVES,,"CHERRY CANYON, BRUSHY CANYON"
000116105,38900000,08,000000,,1H,,,REEVES,,"CHERRY CANYON, BELL CANYON, BRUSHY CANYON"
000116106,10732119,8A,68090,PHIL,331,"HOOPLE (CLEAR FORK)","HEXP OPERATING, LLC",CROSBY,Oil,GLORIETA
000116107,10731816,8A,68090,PHIL,1222,"HOOPLE (CLEAR FORK)","HEXP OPERATING, LLC",CROSBY,Oil,GLORIETA
000116108,10732099,8A,68090,PHIL,1240,"HOOPLE (CLEAR FORK)","HEXP OPERATING, LLC",CROSBY,Oil,GLORIETA
000116109,34133496,10,284483,"DUMAS SWD",1,"PANHANDLE, WEST","PAMPA WATER DISPOSAL, INC.",MOORE,Gas,"BROWN DOLOMITE, MOORE COUNTY LIME"
000116110,38333469,7C,04157,PARISH,6,"SPRABERRY (TREND AREA)","BTA OIL PRODUCERS, LLC",REAGAN,Oil,"SPRABERRY UPPER"
000116111,49534050,08,50062,"SPANISH DAGGER 30-27",1,"WINK, S. (BONE SPRINGS)","FELIX WATER, LLC",WINKLER,Oil,"BELL CANYON, CHERRY CANYON"
000116112,30133840,08,50039,"MITCHELL 40-28",1,"WINK, S. (BONE SPRINGS)","FELIX WATER, LLC",LOVING,Oil,"BELL CANYON, CHERRY CANYON"
000116113,20332071,06,141684,"JONES GAS UNIT",7,"WOODLAWN (COTTON VALLEY)","BP AMERICA PRODUCTION COMPANY",HARRISON,Gas,"TRAVIS PEAK"
000116114,49534038,08,49531,"MITCHELL 42-27",2,"WINK, S. (BONE SPRINGS)","FELIX WATER, LLC",WINKLER,Oil,"BELL CANYON, CHERRY CANYON"
000116115,49534045,08,50007,"UNIVERSITY 21-21",1,"WAR-WINK, E. (7000)","FELIX WATER, LLC",WINKLER,Oil,"BELL CANYON, CHERRY CANYON"
000116116,23536177,7C,17418,STEPHENS,1020,"FUNK (SAN ANDRES)","BANNER OPERATING, LLC",IRION,Oil,"SAN ANDRES"
000116117,38936297,08,50172,GYPSY,01SW,"PHANTOM (WOLFCAMP)","CAPROCK FIELD SERVICES LLC",REEVES,Oil,"CHERRY CANYON"
000116118,38900000,08,000000,,1,,,REEVES,,DELAWARE
000116119,30133783,08,50081,"BOYD 2501 SWD",1,"DIMMITT (DELAWARE)","COG OPERATING LLC",LOVING,Oil,DELAWARE
000116120,30133782,08,50080,"BOYD 7527 SWD",1,"DIMMITT (DELAWARE)","COG OPERATING LLC",LOVING,Oil,DELAWARE
000116121,22739441,08,50155,"NEPTUNE SWD",1,"SPRABERRY (TREND AREA)","SM ENERGY COMPANY",HOWARD,Oil,"FUSSELMAN, MONTOYA, ELLENBURGER"
000116122,22739437,08,50154,"HYDRA SWD",1,"SPRABERRY (TREND AREA)","SM ENERGY COMPANY",HOWARD,Oil,"FUSSELMAN, MONTOYA, ELLENBURGER"
000116123,46140746,7C,000000,,6D,,,UPTON,,"SAN ANDRES"
000116124,38936196,08,000000,,1,,,REEVES,,"BELL CANYON, CHERRY CANYON, BRUSHY CANYON"
000116125,16333999,01,000000,,1,,,FRIO,,"GLEN ROSE"
000116126,38900000,08,000000,,1,,,REEVES,,DELAWARE
000116127,41535359,8A,03137,"SACROC UNIT",321-4A,KELLY-SNYDER,"KINDER MORGAN PRODUCTION CO LLC",SCURRY,Oil,"CISCO, CANYON REEF"
000116128,21936699,8A,03780,"LEVELLAND UNIT",1159,LEVELLAND,"OCCIDENTAL PERMIAN LTD.",HOCKLEY,Oil,"SAN ANDRES"
000116129,38936371,08,000000,,1,,,REEVES,,"DELAWARE, BELL CANYON, CHERRY CANYON"
000116130,00338095,08,50127,"UNIVERSITY 'U'",5,"GOLDSMITH, N. (SAN ANDRES, CON.)","BURLESON PETROLEUM, INC.",ANDREWS,Oil,"SAN ANDRES"
000116131,31331348,03,26010,"MCFARLAND-HARDWICK UNIT",4W,"HALLIDAY (WOODBINE)","WHEELER OPERATING CORPORATION",MADISON,Oil,"LEWISVILLE A B C & D"
000116132,40933078,04,14073,FLINN,13D,"TAFT (4000)","FROSTWOOD ENERGY, LLC","SAN PATRICIO",Oil,FRIO
000116133,13543555,08,000000,,1R,,,ECTOR,,ELLENBURGER
000116134,18101692,09,31699,"BIG MINERAL CREEK (UV SAND) UNIT",514W,"BIG MINERAL CREEK (UV SAND UNIT)","JETTA OPERATING COMPANY, INC.",GRAYSON,Oil,"UV SAND"
000116135,19900557,03,10886,"TRUSTY OIL UNIT",4,"VILLAGE MILLS, EAST (V-1)","FOUNDATION ENERGY MANAGEMENT LLC",HARDIN,Oil,"YEGUA (O), YEGUA (W)"
000116136,40133918,06,221452,"DOLLAR GAS UNIT 1",4,"HENDERSON, E. (COTTON VALLEY)","SABINE OIL & GAS CORPORATION",RUSK,Gas,"DUCK CREEK"
000116137,31700000,08,000000,,2,,,MARTIN,,ELLENBURGER
000116138,46140722,7C,000000,,618D,,,UPTON,,"SAN ANDRES"
000116139,46140721,7C,000000,,1DD,,,UPTON,,"DEVONIAN, FUSSELMAN, MONTOYA, ELLENBURGER"
000116140,00347715,08,49886,"RING SHAFTER LAKE 12 SWD",1D,"BLOCK A-34 (SAN ANDRES)","RING ENERGY, INC.",ANDREWS,Oil,"GLORIETA, CLEARFORK, WICHITA-ALBANY"
000116141,10542259,7C,18373,"SHANNON ESTATE NOELKE SE","S 15","NOELKE, SOUTHEAST (QUEEN)","GREEN CENTURY EXP & PROD, LLC",CROCKETT,Oil,QUEEN
000116142,38900000,08,000000,,1,,,REEVES,,DELAWARE
000116143,40901644,04,12594,"WELDER, MINNIE S.",4,"PORTILLA (FRIO)","FROSTWOOD ENERGY, LLC","SAN PATRICIO",Oil,FRIO
000116144,40931893,04,12594,"WELDER, MINNIE S.",66H,"PORTILLA (FRIO)","FROSTWOOD ENERGY, LLC","SAN PATRICIO",Oil,FRIO
000116145,38936583,08,000000,,1,,,REEVES,,"DELAWARE SANDS"
000116146,32942051,08,000000,,1DD,,,MIDLAND,,"FUSSELMAN, MONTOYA, ELLENBURGER"
000116147,32942084,08,33034,"CASSIDY ""B""",2DD,"SPRABERRY (TREND AREA)","PIONEER NATURAL RES. USA, INC.",MIDLAND,Oil,"DEVONIAN, FUSSELMAN, MONTOYA, ELLENBURGER"
000116148,17332326,08,33849,"POWELL ""9A""",23D,"BLALOCK LAKE,S.(WOLFCAMP)","OXY USA INC.",GLASSCOCK,Oil,WOLFCAMP
000116149,43334093,7B,32102,"HUNT, C.O.",14,"OLD GLORY","SCOUT ENERGY MANAGEMENT LLC",STONEWALL,Oil,CANYON
000116150,38935819,08,000000,,1D,,,REEVES,,"BELL CANYON, CHERRY CANYON"
000116151,49534039,08,000000,,1,,,WINKLER,,"BELL CANYON, CHERRY CANYON"
000116152,38900000,08,000000,,1,,,REEVES,,"CHERRY CANYON, BRUSHY CANYON"
000116153,30133808,08,000000,,X001,,,LOVING,,"LOWER BELL CANYON, UPPER CHERRY CANYON, DELAWARE MOUNTAIN, GROUP"
000116154,30133809,08,50338,"Z&T 32",X001,"EL MAR (DELAWARE)","ROSEHILL OPERATING COMPANY, LLC",LOVING,Oil,DELAWARE
000116155,36538410,06,000000,,4,,,PANOLA,,PETTIT
000116156,41535353,8A,03137,"SACROC UNIT",255-6,KELLY-SNYDER,"KINDER MORGAN PRODUCTION CO LLC",SCURRY,Oil,"CISCO, CANYON REEF"
000116157,10540105,7C,15792,"SHANNON HOSPITAL ""2""",8,"NOELKE (WOLFCAMP, LOWER)","AVAD OPERATING, LLC",CROCKETT,Oil,WOLFCAMP
000116158,46731137,05,04291,"FRUITVALE WATERFLOOD UNIT",201,FRUITVALE,"JAMEX, INC.","VAN ZANDT",Oil,"TRAVIS PEAK"
000116159,46731156,05,04291,"FRUITVALE WATERFLOOD UNIT",1301,FRUITVALE,"JAMEX, INC.","VAN ZANDT",Oil,"TRAVIS PEAK"
000116160,50136936,8A,19308,"WILLARD UNIT",97BX,WASSON,"OXY USA WTP LP",YOAKUM,Oil,"SAN ANDRES"
000116161,46731144,05,04291,"FRUITVALE WATERFLOOD UNIT",1401,FRUITVALE,"JAMEX, INC.","VAN ZANDT",Oil,"TRAVIS PEAK"
000116162,48581583,09,05112,"RAMMING, L. F.",30,"WICHITA COUNTY REGULAR","FRESNO OIL COMPANY",WICHITA,Oil,CISCO
000116163,46140597,7C,19799,"DAVIDSON UNIT 1",0106BH,"SPRABERRY (TREND AREA)","XTO ENERGY INC.",UPTON,Oil,ELLENBURGER
000116164,31700000,08,000000,,1,,,MARTIN,,"FUSSELMAN, ELLENBURGER"
000116165,26332071,8A,70585,WILSON,1,"LONG-HALL (TANNEHILL)","HALLIBURTON OPERATING COMPANY",KENT,Oil,DOTHAN
000116166,38936372,08,000000,,2,,,REEVES,,"DEVONIAN, FUSSELMAN, MONTOYA, SIMPSON, ELLENBURGER"
000116167,31700000,08,000000,,1,,,MARTIN,,ELLENBURGER
000116168,00941830,09,31508,BUSH,1,"ARCHER COUNTY REGULAR","JL&M ENERGY, LLC",ARCHER,Oil,"GUNSIGHT SAND"
000116169,22739442,08,000000,,2D,,,HOWARD,,"ELLENBURGER, PENNSYLVANIAN, CANYON, STRAWN, ATOKA,, MISSISSIPPIAN"
000116170,47536934,08,47791,"SEALY & SMITH FOUNDATION C",100H,"F. A. HOGG (PENN DETRITAL)","SUNDOWN PERMIAN LP",WARD,Oil,"QUEEN, GRAYBURG, SAN ANDRES"
000116171,10731690,8A,69994,"CLARK WOOD RANCH",1034,"HOOPLE (CLEAR FORK)","SURGE OPERATING, LLC",CROSBY,Oil,"CLEAR FORK"
000116172,38936202,08,000000,,2,,,REEVES,,"BELL CANYON, CHERRY CANYON, BRUSHY CANYON"
000116173,38936536,08,50296,"REEVES TXL FEE T8-50-5",2SW,"HAMON, NORTHWEST (DELAWARE)","CHEVRON U. S. A. INC.",REEVES,Oil,"BELL CANYON, CHERRY CANYON"
000116174,16533280,8A,65496,"JONES ""C""",1,"HOBBS, EAST","FORTUNA RESOURCES DVLPMENT, LLC",GAINES,Oil,GLORIETA
000116175,50136920,8A,19151,"BENNETT RANCH UNIT",3435,WASSON,"OCCIDENTAL PERMIAN LTD.",YOAKUM,Oil,"SAN ANDRES"
000116176,42332404,06,15531,"GIFT RANCH",3,"NKB (SUB-CLARKVILLE)","STRAND ENERGY, L.C.",SMITH,Oil,WOODBINE
000116177,49534051,08,50064,"SPANISH DAGGER 29-27",1,"WINK, S. (BONE SPRINGS)","FELIX WATER, LLC",WINKLER,Oil,"BELL CANYON, CHERRY CANYON"
000116178,30530467,8A,70722,"WOMACK-BARTLEY UNIT",1W,"MOUND LAKE","SHAIDA, JOHN H.",LYNN,Oil,"SAN ANDRES"
000116179,13139533,04,02035,"LOPEZ -A-",25,ORLEE,"TRIUM, LTD.",DUVAL,Oil,COLE
000116180,31700000,08,000000,,2,,,MARTIN,,"DEVONIAN, FUSSELMAN, MONTOYA, ELLENBURGER"
000116181,39101401,02,05280,"TOM OCONNOR (5800 SD) FLD. UNIT","P123 L","TOM OCONNOR (5800)","HILCORP ENERGY COMPANY",REFUGIO,Oil,FRIO
000116182,39101401,02,02590,"LAMBERT, M. F.","123 U","TOM OCONNOR (5500 SAND)","HILCORP ENERGY COMPANY",REFUGIO,Oil,FRIO
000116183,39101433,02,01549,"LAMBERT, M. F.",60,"TOM OCONNOR","HILCORP ENERGY COMPANY",REFUGIO,Oil,FRIO
000116184,17337778,08,000000,,1D,,,GLASSCOCK,,"DEVONIAN, FUSSELMAN, MONTOYA, ELLENBURGER"
000116185,31700000,08,000000,,1,,,MARTIN,,"DEVONIAN, FUSSELMAN, MONTOYA, ELLENBURGER"
000116186,40933079,04,000000,,1,,,"SAN PATRICIO",,FRIO
000116187,48546111,09,33777,"LOCHRIDGE UNIT",14,"WICHITA COUNTY REGULAR","GILMORE, LEO OIL, INC.",WICHITA,Oil,CISCO
000116188,23900585,02,03414,"CRAVENS, J. R.",3,"GANADO, WEST (4700 ZONE)","FROSTWOOD ENERGY, LLC",JACKSON,Oil,FRIO
000116189,32900000,08,000000,,1,,,MIDLAND,,ELLENBURGER
000116190,41738321,7B,188072,"LANE, M.",1,"SHACKELFORD COUNTY REGULAR (GAS)","ARCHER PETROLEUM",SHACKELFORD,Gas,"MORAN SAND"
000116191,15130960,7B,29955,TEAGUE,9,"PARDUE (CANYON)","DOUBLE M PETROPROPERTIES, INC.",FISHER,Oil,"CANYON, SWASTIKA"
000116192,31741183,08,000000,,1D,,,MARTIN,,"DEVONIAN, FUSSELMAN, MONTOYA, ELLENBURGER"
000116193,38935887,08,49969,"APC 57-3-14",1D,"REAVES, N. (3200)","APC WATER HOLDINGS 1, LLC",REEVES,Oil,"BELL CANYON, CHERRY CANYON, BRUSHY CANYON"
000116194,50342376,09,33384,KUNKEL,11G,"Y-B (GUNSIGHT, UPPER)","GUIDANCE OIL DEVELOPERS,INC.(1)",YOUNG,Oil,GUNSIGHT
000116195,00941112,09,00803,"ABERCROMBIE, C. L.",201,"ARCHER COUNTY REGULAR","BYTEX OIL CO. A&B",ARCHER,Oil,GUNSIGHT
000116196,49534029,08,000000,,2,,,WINKLER,,"BELL CANYON, CHERRY CANYON"
000116197,35500150,04,137650,"ESTELL, MARY KING","B 17","RICHARD KING (FRIO CONS.)","DURANGO RESOURCES CORP.",NUECES,Gas,"FRIO UPPER"
000116198,50133497,8A,000000,,1,,,YOAKUM,,"GLORIETA, TUBB, CLEAR FORK, ABO, WOLFCAMP, PENNSYLVANIAN,, CANYON, STRAWN, ATOKA, MISSISSIPPIAN, WOODFORD, DEVONIAN,, FUSSELMAN"
000116199,44131698,7B,32243,"BLAND 'A'",4,"TAYLOR COUNTY REGULAR","SOJOURNER DRILLING CORPORATION",TAYLOR,Oil,SWASTIKA
000116200,17337814,08,000000,,1615WD,,,GLASSCOCK,,"SAN ANDRES"
000116201,39901681,7C,000000,,7,,,RUNNELS,,"BRECKENRIDGE LIME, CISCO REEF"
000116202,30133785,08,000000,,1,,,LOVING,,DELAWARE
000116203,24130840,03,26386,"HENDERSON UNIT A",3,"SALLY WITHERS LAKE (3650)","H.E.X.T. OPERATING, LTD.",JASPER,Oil,MIOCENE
000116204,10731679,8A,69994,"CLARK WOOD RANCH",1172,"HOOPLE (CLEAR FORK)","SURGE OPERATING, LLC",CROSBY,Oil,"CLEAR FORK"
000116205,10731708,8A,69994,"CLARK WOOD RANCH",1174,"HOOPLE (CLEAR FORK)","SURGE OPERATING, LLC",CROSBY,Oil,"CLEAR FORK"
000116206,13542934,08,21079,"EAST PENWELL /SAN ANDRES/ UNIT",1919W,PENWELL,"ENERGEN RESOURCES CORPORATION",ECTOR,Oil,"SAN ANDRES"
000116207,10300000,08,000000,,101SD,,,CRANE,,"JUDKINS, SAN ANDRES"
000116208,49534044,08,000000,,1,,,WINKLER,,"BELL CANYON, CHERRY CANYON"
000116209,22739276,08,000000,,1,,,HOWARD,,ELLENBURGER
000116210,49534031,08,000000,,1,,,WINKLER,,"BELL CANYON, CHERRY CANYON"
000116211,38937077,08,000000,,1,,,REEVES,,"BELL CANYON, CHERRY CANYON, BRUSHY CANYON"
000116212,30530331,8A,70106,"KEN DAVIES",4SW,SUNILAND,"HORST ENERGY LLC",LYNN,Oil,"SAN ANDRES"
000116213,40932447,04,12594,"WELDER, MINNIE S.",80,"PORTILLA (FRIO)","FROSTWOOD ENERGY, LLC","SAN PATRICIO",Oil,FRIO
000116214,18101735,09,02830,"VARLEY, S.",3,"MCELREATH (STRAWN 3600)","FELDERHOFF PRODUCTION COMPANY",GRAYSON,Oil,STRAWN
000116215,38936582,08,000000,,1,,,REEVES,,"DELAWARE SANDS"
000116216,47537414,08,50099,"UNIVERSITY 45-20",1D,"WAR-WINK (CHERRY CANYON)","FELIX WATER, LLC",WARD,Oil,"DELAWARE MOUNTAIN GROUP"
000116217,03900310,03,19054,"WEST HASTING UNIT",1304R,"HASTINGS, WEST","DENBURY ONSHORE, LLC",BRAZORIA,Oil,FRIO
000116218,30100000,08,000000,,1,,,LOVING,,DELAWARE
000116219,38937387,08,000000,,1,,,REEVES,,"DELAWARE, BELL CANYON, CHERRY CANYON, BRUSHY CANYON"
000116220,32933778,08,35482,"WINDHAM ""2""",2,"SPRABERRY (TREND AREA)","ENCANA OIL & GAS(USA) INC.",MIDLAND,Oil,"SAN ANDRES"
000116221,40135410,6E,08774,MCBRIDE,2,"EAST TEXAS","MCBRIDE OPERATING LLC",RUSK,Oil,WOODBINE
000116222,50136928,8A,63523,"YOAKUM WASSON CLEARFORK UNIT",4715,"WASSON 72","OCCIDENTAL PERMIAN LTD.",YOAKUM,Oil,"GLORIETA, CLEAR FORK"
000116223,50136925,8A,63523,"YOAKUM WASSON CLEARFORK UNIT",4847,"WASSON 72","OCCIDENTAL PERMIAN LTD.",YOAKUM,Oil,"GLORIETA, CLEAR FORK"
000116224,50136926,8A,63523,"YOAKUM WASSON CLEARFORK UNIT",3825,"WASSON 72","OCCIDENTAL PERMIAN LTD.",YOAKUM,Oil,"GLORIETA, CLEAR FORK"
