,CauseofLoss,CommNbr,County,DateofLoss,District,Facility,FieldNumber,FieldNumber.1,Form Number,Gasident,GrossLoss,Into_Water,LeaseName,LeaseNumber,Location,MasterYear,Net Loss,OperatorNumber,Recovered,Remarks,Remedy,TypeLiquid,Type_Company_Cd,Unique_ID,Water,WaterName
5227,Corrosion - Rust,0.0,HOWARD,4/17/2014,8,Tank Battery,WARDER,HOWARD GLASSCOCK (CONSOLIDATED),550.0,0.0,40.0,False,VACUUM TRUCK PICK UP STANDING FLUID. WILL REMEDIATE AREA,41063.0,,2014.0,5.0,"SHERIDAN PRODUCTION COMPANY, LLC",35.0,"SEC 137, BLK 29, A-477, SUR W&NW RR CO",Other,Crude,Producer,62825.0,0,None
5228,Equipment Failure,0.0,CARSON,4/17/2014,10,Tank Battery,"BOBBITT, ETHEL, -A-",PANHANDLE CARSON COUNTY FIELD,248.0,0.0,4.0,False,REMEDIATION PLAN IN PROGRESS,3509.0,,2014.0,4.0,"LINN OPERATING, INC.",0.0,"BLK. 7, I&GN RRCO SURVEY",Other,Crude,Producer,62548.0,0,None
5229,Company Human Error,0.0,MIDLAND,4/17/2014,8,Tank Battery,MCALISTER -O-,SPRABERRY (TREND AREA),460.0,0.0,15.0,False,WILL NOW CHECK THE ROTAION OF ANY PUMP .,31576.0,,2014.0,5.0,"PIONEER NATURAL RES. USA, INC.",10.0,"32.056588, -101.925036",Other,Crude,Producer,62737.0,0,None
5230,Company Human Error,0.0,REAGAN,4/17/2014,7C,Tank Battery,SUGG-A-,SPRABERRY (TREND AREA),232.0,0.0,32.0,False,SOIL REMEDIATION PLAN IN PROGRESS,16507.0,,2014.0,2.0,"LAREDO PETROLEUM, INC.",30.0,WELL #143 -2HU,Other,Crude,Producer,62532.0,0,None
5231,Corrosion - Rust,0.0,CULBERSON,4/16/2014,8,Flow Line,"SHACKELFORD ""7""",NO FIELD NAME,872.0,0.0,173.0,False,"CRUDE OIL STAINING EXCAVATED, REMEDIATE THE SPILL LOCATION",0.0,,2014.0,173.0,"KINDER MORGAN CO2 COMPANY, L.P.",0.0,"31.85330114, -104.53896522",Other,Crude,Transporter,63147.0,0,None
5232,Theft,0.0,ROBERTS,4/16/2014,10,Tank Battery,BOONE 9,LARD RANCH (GRANITE WASH -C-),1404.0,0.0,360.0,False,SET UP CAMERAS,8824.0,,2014.0,360.0,SABINE OIL & GAS LLC,0.0,IN LAST OIL TANK ON LOCATION,Other,Crude,Producer,63679.0,0,None
5233,Corrosion - Rust,0.0,LUBBOCK,4/16/2014,8A,Tank Battery,SIDES UNIT,LEE HARRISON,459.0,0.0,45.0,False,OIL RECOVERED & WILL BE REMEDIATED IMMEDIATELY,68955.0,,2014.0,5.0,"CROSS TIMBERS ENERGY, LLC",40.0,"LABOR 24, LEAGUE 4, SAN AUGUSTINE CSL",Other,Crude,Producer,62736.0,0,None
5234,Equipment Failure,0.0,GRAYSON,4/16/2014,9,Flow Line,SHERMAN /7500 SAND/ UNIT,SHERMAN (7500 SAND),562.0,0.0,16.0,False,SOIL WAS EXCAVATED AND AREA REMEDIATED.,11505.0,,2014.0,1.0,XTO ENERGY INC.,15.0,"SHERMAN 7500 SAND UNIT , A-121 URIAH BURNS",Other,Crude,Producer,62837.0,0,None
5235,Corrosion - Rust,0.0,DIMMIT,4/16/2014,1,Pipe Line,STS NORTH UNIT 18,NO FIELD NAME,1275.0,0.0,100.0,False,"EXCAVATED & TREATED OF ENHANCED BIOREMEDIATION,",0.0,,2014.0,95.0,PLAINS PIPELINE L.P.,5.0,"28.22273, -99.84578",Other,Crude,Transporter,63550.0,0,None
5236,Corrosion - Rust,0.0,UPTON,4/15/2014,7C,Tank Battery,KEELE,SPRABERRY (TREND AREA),231.0,0.0,212.0,False,RECOVERED FREE FLUID AND REMEDIATION PLAN IN PROGRESS,12841.0,,2014.0,147.0,LEGACY RESERVES OPERATING LP,65.0,"SURVEY 4, BLK N, HE & WT RR CO.",Other,Crude,Producer,62531.0,0,None
5237,Equipment Failure,0.0,NUECES,4/15/2014,4,Tank Battery,WRIGHT,"MINNIE BOCK, NE. (6950 SAND)",220.0,0.0,120.0,False,VACUUMED FREE FLUID AND SOILE REMEDIATION PLAN IN PROGRESS,12942.0,,2014.0,10.0,"SUE-ANN OPERATING, L.C.",110.0,"SEC.46, DE HERRERA, J.L. LAT. N27.74733; LONG. W97.71186",Other,Crude,Producer,62520.0,0,None
5238,Equipment Failure,0.0,CRANE,4/15/2014,8,Tank Battery,"MCKNIGHT, M. B.",SAND HILLS (MCKNIGHT),464.0,0.0,25.0,False,BCC TO REMEDIATE CONTAMINATED SOIL ON SITE,5262.0,,2014.0,5.0,"DEVON ENERGY PRODUCTION CO, L.P.",20.0,"SEC 1, BLK B17, PSL SVY",Other,Crude,Producer,62741.0,0,None
5239,Equipment Failure,0.0,ANDREWS,4/14/2014,8,Tank Battery,UNIVERSITY BLOCK 14 CONS.,SHAFTER LAKE (SAN ANDRES),462.0,0.0,340.0,False,"VACUUM TRUCKS CALLED TO CLEAN UP SPILL, SOIL IS REMEDIATED",29524.0,,2014.0,40.0,TREY RESOURCES INC.,300.0,"UNIVERSITY 14 BATTERY, BLK 14, SEC 15",Other,Combined,Producer,62739.0,0,None
5240,Equipment Failure,0.0,MIDLAND,4/14/2014,8,Other,"SHACKELFORD ""7""",NO FIELD NAME,873.0,0.0,35.0,False,ENHANCED BIOREMEDIATION & AERATION,0.0,,2014.0,10.0,ENTERPRISE CRUDE PIPELINE LLC,25.0,"BENGE CORNER NW T&P RR CO BLK 41, T3S SURVEY 46",Other,Crude,Transporter,63148.0,0,None
5241,Equipment Failure,0.0,CULBERSON,4/14/2014,8,Other,SUNDAY SILENCE 2 UNIT,"FORD, WEST (WOLFCAMP)",1333.0,275960.0,150.0,False,"SCRAPED SOIL & HAULED TO DISPOSAL, WILL CONFIRM NO FURTHER IMPACT ",0.0,,2014.0,130.0,CIMAREX ENERGY CO.,20.0,"SEC 11, BLK 59 TOWNSHIP 1, T&P RR CO SUR",Other,Crude,Producer,63608.0,0,None
5242,Corrosion - Rust,0.0,GAINES,4/13/2014,8A,Tank Battery,WORSHAM 6-15,NO FIELD NAME,251.0,0.0,60.0,False,SOILE REMEDIATION PLAN IN PROGRESS,0.0,,2014.0,6.0,"HOLLY ENERGY PARTNERS-OP, L.P.",54.0,1351 FM 2055 W DENVER CITY TEXAS,Other,Crude,Transporter,62551.0,0,None
5243,Vandalism,0.0,CRANE,4/13/2014,8,Tank Battery,HATTIE,C-BAR (SILURIAN),574.0,0.0,25.0,False,"BULLET SHOTS, REMEDIATE IN PROCESS, NO WILDLIFE OR VEG, HARMED",37080.0,,2014.0,5.0,"DEVON ENERGY PRODUCTION CO, L.P.",20.0,TANK BATTERY,Repaired Existing Equipment,Crude,Producer,62849.0,0,None
5244,Equipment Failure,0.0,ZAVALA,4/12/2014,1,Tank Battery,WINTERBOTHAM ZAV,BRISCOE RANCH (EAGLEFORD),1405.0,0.0,25.0,False,"VAC TRUCK, SOIL PLACED IN CUTTINGS BOX & HAULED TO DISPOSAL SITE",15744.0,,2014.0,0.0,"EXCO OPERATING COMPANY, LP",25.0,"SEC 97, SUR DIAZ, A. ABS A-106",Other,Combined,Producer,63680.0,0,None
5245,Equipment Failure,0.0,ANDREWS,4/12/2014,8,Other,RICHARDSON 3,NO FIELD NAME,598.0,0.0,7.0,False,WILL ASSESS THE RELEASE AND REMEDIATE,0.0,,2014.0,1.0,"DCP MIDSTREAM, LP",6.0,"32.37576, -102.81576",Other,Combined,Transporter,62873.0,0,None
5246,Equipment Failure,0.0,IRION,4/12/2014,7C,Tank Battery,FREITAG,SPRABERRY (TREND AREA),283.0,0.0,20.0,False,"FIRE TUBE GASKET FAILURE, AREA FLUSHED. REMEDIATION STARTED.",18053.0,,2014.0,2.0,"FIML NATURAL RESOURCES, LLC",18.0,SEC 84 BLK 14 H&TC RR CO/REESE H SURVEY A999,Repaired Existing Equipment,Crude,Producer,62583.0,0,None
5247,Equipment Failure,0.0,REAGAN,4/11/2014,7C,Flow Line,UNIVERSITY 48,LIN (WOLFCAMP),230.0,0.0,42.0,False,SOIL REMOVED AND REMEDIATION PLAN IN PROGRESS,18110.0,,2014.0,17.0,"ENDURING RESOURCES, LLC",25.0,"SW1/4NW1/4 SEC.07, BLK. 48 UNIVERSITY LANDS",Other,Crude,Producer,62530.0,0,None
5248,Equipment Failure,0.0,WARD,4/10/2014,8,Tank Battery,UNIVERSITY 43-18,WAR-WINK (CHERRY CANYON),461.0,0.0,180.0,False,REMEDIATION IN PLACE BY THIRD PARTY,42932.0,,2014.0,3.0,ENERGEN RESOURCES CORPORATION,177.0,"SEC 43, BLK 18, UNIVERSITY LANDS SURVEY",Repaired Existing Equipment,Crude,Producer,62738.0,0,None
5249,Equipment Failure,0.0,WARD,4/10/2014,8,Tank Battery,9217 JV-P POQUITO,CAPRITO (DELAWARE MIDDLE),466.0,0.0,8.0,False,WILL REMEDIATE SURFACE BY BLENDING IMPACTED SOIL,34043.0,,2014.0,2.0,"BTA OIL PRODUCERS, LLC",6.0,"SEC 18, BLK 18, ULS SURVEY",Repaired Existing Equipment,Crude,Producer,62743.0,0,None
5250,Company Human Error,0.0,WARD,4/10/2014,8,Tank Battery,AUTOBAHN 34-117,PHANTOM (WOLFCAMP),463.0,0.0,15.0,False,"VACUUM TRUCK RECOVERED FREE FLUIDS, SOIL WILL BE REMEDIATED",44771.0,,2014.0,3.0,CIMAREX ENERGY CO.,12.0,"SEC 117, BLK 34, H&TC RR CO",Other,Crude,Producer,62740.0,0,None
5251,Equipment Failure,0.0,WHEELER,4/9/2014,10,"Vehicle (Truck-Barge, Etc)",HUFF RANCH 47,STILES RANCH (GRANITE WASH CONS),252.0,267208.0,6.0,False,SOIL WAS REMOVED AND REPLACED. REMEDIATING AFFECTED SOIL.,0.0,,2014.0,3.0,NEWFIELD EXPL. MID-CON. INC,3.0,"SEC. 47, BLK. A3 H&GN SURVEY",Other,Gas Well Liquid,Producer,62552.0,0,None
5252,Equipment Failure,0.0,REAGAN,4/9/2014,7C,Flow Line,ROCKER B 20-21,LIN (WOLFCAMP),1408.0,0.0,15.0,False,MESQUITE TREES GRUBBED & AREA WILL BE MIXED & TILLED IN PLACE,18677.0,,2014.0,10.0,TALL CITY OPERATIONS LLC,5.0,"SEC 20, BLK F, C&M RR CO",Other,Crude,Producer,63683.0,0,None
5253,Equipment Failure,0.0,DAWSON,4/9/2014,8A,Flow Line,BLACK PEARL,WILLENE (FUSSELMAN),591.0,0.0,46.0,False,SOIL REMEDIATION PLAN IN PROGRESS,69682.0,,2014.0,29.0,"RAW OIL & GAS, INC.",17.0,"SEC. 69, BLK. 8, EL&RR RR CO SURVEY",Other,Crude,Producer,62866.0,0,None
5254,Equipment Failure,0.0,HARDIN,4/8/2014,3,Flow Line,"BROOKS, G. W. FEE",SILSBEE (2),237.0,0.0,15.0,False,VACUUMED FREE FLUID AND SOIL REMEDIATION PLAN IN PROGRESS,23679.0,,2014.0,1.0,"SILVER OAK ENERGY, LLC",14.0,FLOWLINE FROM BROOKS 58 TO BROOKS BATTERY 1,Other,Crude,Producer,62537.0,0,None
5255,Equipment Failure,0.0,LOVING,4/8/2014,8,Tank Battery,MDJ 54-1-30,SANDBAR (BONE SPRING),979.0,273927.0,15.0,False,"RECOVER FREE STANDING FLUIDS, WASH CONTAINMENT & DISPOSE OF",0.0,,2014.0,0.0,ANADARKO E&P ONSHORE LLC,15.0,"31.9403649, -103.6890372",Other,Combined,Producer,63254.0,0,None
5256,Equipment Failure,0.0,MATAGORDA,4/8/2014,3,Flow Line,SOUTHLAND TRULL,"PHEASANT, SW. (8150 B-1)",215.0,0.0,23.0,False,VACUUMED FREE FLUID AND REMEDIATED AREA.,21884.0,,2014.0,1.0,"KD ENERGY, LLC",22.0,"S.PERKINS, A-371",Other,Crude,Producer,62515.0,0,None
5257,Equipment Failure,0.0,MARTIN,4/8/2014,8,Tank Battery,SCHARBAUER RANCH,SPRABERRY (TREND AREA),522.0,0.0,20.0,False,VACUUM FREE FLUID AND REMEDIATION PLAN IN PROGRESS,37534.0,,2014.0,5.0,"PIONEER NATURAL RES. USA, INC.",15.0,"N32.27378, W-102.13306",Other,Crude,Producer,62797.0,0,None
5258,Equipment Failure,0.0,YOAKUM,4/8/2014,8A,Tank Battery,CWC PRENTICE UNIT,PRENTICE (6700),812.0,0.0,15.0,False,"VACUUMED UP FLUIDS, WILL REMEDIATE",61063.0,,2014.0,15.0,OCCIDENTAL PERMIAN LTD.,0.0,PRENTICE CWC UNIT,Other,Crude,Producer,63087.0,0,None
5259,Equipment Failure,0.0,REEVES,4/8/2014,8,Tank Battery,LYDA 21,WOLFBONE (TREND AREA),353.0,0.0,9.0,False,"GASKET ON MANWAY FAILED, PICK UP FLUID, MIX AND TIL",42864.0,,2014.0,1.0,OXY USA WTP LP,8.0,"SECTION 21, BLK 51 T7S",Other,Crude,Producer,62639.0,0,None
5260,Equipment Failure,0.0,YOAKUM,4/7/2014,8A,Tank Battery,COBB ET AL,"PRENTICE (CLEAR FORK, LOWER)",813.0,0.0,15.0,False,"VACUUMED UP STANDING FLUIDS, WILL REMEDIATE",16808.0,,2014.0,15.0,OCCIDENTAL PERMIAN LTD.,0.0,COBB ET AL,Other,Crude,Producer,63088.0,0,None
5261,Corrosion - Rust,0.0,UPTON,4/7/2014,7C,Flow Line,XBC GIDDINGS ESTATE,SPRABERRY (TREND AREA),255.0,0.0,51.0,False,NOVA TO PERFORM REMEDIATION.,16349.0,,2014.0,49.0,"PIONEER NATURAL RES. USA, INC.",2.0,"N31.439081 DEG, W-102.0129360 DEG.",Other,Crude,Producer,62555.0,0,None
5262,Theft,0.0,WICHITA,4/7/2014,8,Tank Battery,WHITE A-B,NO FIELD NAME,1395.0,278631.0,204.0,False,MONTAGUE COUNTY SHERIFF'S OFFICE WAS CONTACTED,0.0,,2014.0,204.0,"ENERVEST OPERATING, L.L.C.",0.0,"SCOTT, RR A-695",Other,Crude,Producer,63670.0,0,None
5263,Equipment Failure,0.0,ANDREWS,4/6/2014,8,Tank Battery,UNIVERSITY BLOCK 9,UNIVERSITY BLOCK 9 (DEVONIAN),469.0,0.0,90.0,False,SPILL WAS CONTAINED UNDER FRAC TANKS,39152.0,,2014.0,87.0,XTO ENERGY INC.,3.0,"SEC 10, BLK 9, UNIVERSITY LANDS SURVEY",Other,Crude,Producer,62746.0,0,None
5264,Equipment Failure,0.0,ANDREWS,4/6/2014,8,Tank Battery,UNIVERSITY BLOCK 9,UNIVERSITY BLOCK 9 (DEVONIAN),1354.0,0.0,90.0,False,SPILL WAS CONTAINED UNDER FRAC TANKS,39152.0,,2014.0,87.0,XTO ENERGY INC.,3.0,"SEC 10, BLK 9, UNIVERSITY LANDS SUR",Other,Crude,Producer,63629.0,0,None
5265,Equipment Failure,0.0,UPTON,4/6/2014,7C,Flow Line,MILLER 36,SPRABERRY (TREND AREA),1409.0,0.0,20.0,False,"FIRE CONTAINED, EXTINGUISHED, SOILS WILL BE TILLED",18419.0,,2014.0,0.0,APACHE CORPORATION,20.0,"31.5801, -101.9244",Other,Crude,Producer,63684.0,0,None
5266,Equipment Failure,0.0,WARD,4/6/2014,8,Tank Battery,EFFIE PONDER EST. 33-18,PHANTOM (WOLFCAMP),465.0,0.0,17.0,False,LOCATION WILL BE REMEDIATED,38719.0,,2014.0,3.0,CIMAREX ENERGY CO. OF COLORADO,14.0,"SEC 18, BLK 33 H & T.C. RR",Other,Crude,Producer,62742.0,0,None
5267,Equipment Failure,0.0,REEVES,4/6/2014,8,Tank Battery,BENTON 3-12,PHANTOM (WOLFCAMP),976.0,0.0,7.0,False,RECOVERED FREE STANDING LIQUIDS & BEGAN REMEDIATION,44948.0,,2014.0,1.0,ENERGEN RESOURCES CORPORATION,6.0,"31.6272029, -103.5240489",Other,Combined,Producer,63251.0,0,None
5268,Equipment Failure,0.0,WOOD,4/5/2014,6,Flow Line,FOREST HILL SUB-CLKVLE. SD. UNIT,FOREST HILL,1107.0,0.0,5.0,False,"SOIL MOVED FROM THE SITE, SOIL WILL BE USED TO IMPROVE FIREWALL",4065.0,,2014.0,0.0,"P.O.&G. OPERATING, LLC",5.0,"J. STARK SURVEY,",Other,Crude,Producer,63382.0,0,None
5269,Theft,0.0,SHELBY,4/5/2014,6E,Tank Battery,HUGHEY & ROSS,EAST TEXAS,241.0,0.0,10.0,False,THEFT.,7105.0,,2014.0,5.0,"DYERSDALE ENERGY, L.P.",5.0,J.HILLIARD&J.MOFFETT SVY. 1 MI. N OF I-20 ON HWY 42,Other,Crude,Producer,62541.0,0,None
5270,Equipment Failure,0.0,MCMULLEN,4/5/2014,1,Valve,STS NORTH UNIT 18,EAGLEVILLE (EAGLE FORD-1),1274.0,0.0,20.0,False,"BACKHOE USED TO SCRAPE & SCOOP, REMOVED",17756.0,,2014.0,0.0,HUNT OIL COMPANY,20.0,S.W.T. & P. RR CO A-533,Other,Combined,Producer,63549.0,0,None
5271,Corrosion - Rust,0.0,REAGAN,4/5/2014,7C,Tank Battery,"BIRD, F. A. ESTATE -B-",SPRABERRY (TREND AREA),921.0,0.0,38.0,False,REMEDIATE,3526.0,,2014.0,30.0,"CHARLES A. BIRD, ESTATE",8.0,"SEC 41, BLK C, L & S V RRCO SURVEY",Repaired Existing Equipment,Crude,Other,63196.0,0,None
5272,Company Human Error,0.0,REAGAN,4/5/2014,7C,Tank Battery,NEAL,NO FIELD NAME,229.0,0.0,16.0,False,SOIL REMEDIATION PLAN IN PROGRESS,0.0,,2014.0,16.0,"PLAINS MARKETING, L.P.",0.0,"GPS: N31.2355, W-101.575",Other,Crude,Transporter,62529.0,0,None
5273,Human Error - Other,0.0,ANDREWS,4/5/2014,8,Tank Battery,"UNIVERSITY ""7-43""",SPRABERRY (TREND AREA),1121.0,0.0,6.0,False,"REMOVED W/ VAC TRUCK, EXCAVATED & BLENDED, BIOLOGICAL REMEDIATION ",40532.0,,2014.0,2.0,"PIONEER NATURAL RES. USA, INC.",4.0,"32.35236, -102.28323",Other,Crude,Producer,63396.0,0,None
5274,Equipment Failure,0.0,REAGAN,4/4/2014,7C,Flow Line,SCHWARTZ,NO FIELD NAME,476.0,698067.0,389.0,False,VACUUMED FREE FLUID AND REMEDIATED SOIL.,0.0,,2014.0,267.0,CALLON PETROLEUM OPERATING CO,122.0,NEAL 500 TB- NEAL 501 IS NEAR,Other,Crude,Producer,62753.0,0,None
5275,Equipment Failure,0.0,UPTON,4/4/2014,7C,Pipe Line,PEGASUS SPRABERRY UNIT,PEGASUS (CONSOLIDATED),257.0,0.0,35.0,False,SOIL REMEDIATION PLAN IN PROGRESS,17147.0,,2014.0,5.0,COG OPERATING LLC,30.0,"SEC. 42, BLK. 40, T&P RR CO SURVEY",Other,Crude,Producer,62557.0,0,None
5276,Human Error - Other,0.0,MIDLAND,4/4/2014,8,Tank Battery,ST S,SPRABERRY (TREND AREA),581.0,0.0,20.0,False,REMEDIATION IN PROCESS,41364.0,,2014.0,20.0,DIAMONDBACK E&P LLC,0.0,"N 31.930420, W 102.230920",Other,Crude,Producer,62856.0,0,None
5277,Equipment Failure,0.0,WARD,4/4/2014,8,Tank Battery,ROCA UNIT 7,TWO GEORGES (BONE SPRING),470.0,0.0,35.0,False,RECOVERED FREESTANDING LIQUIDS & BEGAN REMEDIATION,44434.0,,2014.0,9.0,ENERGEN RESOURCES CORPORATION,26.0,"SEC 7, BLK 1, W&NW RR CO",Other,Crude,Producer,62747.0,0,None
5278,Equipment Failure,0.0,ANDREWS,4/3/2014,8,Tank Battery,"UNIVERSITY ""11A""","BLOCK 11 (WICHITA, LO)",1273.0,0.0,80.0,False,"VACUUM TRUCK, AFFECTED SOIL DUG OUT, THEN DILUTED MIX W/CLEAN SOIL",26172.0,,2014.0,6.0,"DISCOVERY OPERATING, INC.",74.0,"SEC 10, BLK 11, UNIVERSITY LANDS SURVEY",Other,Crude,Producer,63548.0,0,None
5279,Equipment Failure,0.0,ANDREWS,4/3/2014,8,Tank Battery,LITTMAN -A-,LITTMAN (SAN ANDRES),365.0,0.0,7.0,False,TRIPLEX PUMP WENT DOWN LOCATION WILL BE REMEDIATED,26861.0,,2014.0,4.0,CIMAREX ENERGY CO. OF COLORADO,3.0,SEC 6,Other,Crude,Producer,62651.0,0,None
5280,Equipment Failure,0.0,CULBERSON,4/3/2014,8,Tank Battery,DAYSTAR 20 UNIT,DERBY (BONE SPRING),649.0,273366.0,100.0,False,IMPACTED SOIL WILL BE REMEDIATED,0.0,,2014.0,100.0,CIMAREX ENERGY CO.,0.0,"SECTION 20, BLK 59, T1S",Other,Crude,Producer,62924.0,0,None
5281,Equipment Failure,0.0,MARTIN,4/3/2014,8,Tank Battery,CHENIN,SPRABERRY (TREND AREA),471.0,0.0,35.0,False,CHANGING OUT POLLYLINE & HAVE STARTED RECLAMATION OF DAMAGED AREA ,40332.0,,2014.0,5.0,"W&T OFFSHORE, INC.",30.0,"SEC 10, BLK H A LANIER, SUR ABS A-942",Repaired Existing Equipment,Crude,Producer,62748.0,0,None
5282,Equipment Failure,0.0,MIDLAND,4/2/2014,8,Tank Battery,SHACKELFORD SPRABERRY UNIT,SPRABERRY (TREND AREA),349.0,0.0,25.0,False,"TANK OVERFILLED, FREE LIQUIDS REMOVED USING VACUUM TRUCK REMEDIAT.",18187.0,,2014.0,5.0,"PIONEER NATURAL RES. USA, INC.",20.0,N 31.834633 W -101.889387,Repaired Existing Equipment,Crude,Producer,62635.0,0,None
5283,Company Human Error,0.0,GLASSCOCK,4/2/2014,8,Pipe Line,NEWELL 12,SPRABERRY (TREND AREA),490.0,0.0,26.0,False,"VACUUM TRUCK PICK UP STANDING FLUID, MICROBLAZE WAS APPLIED",42096.0,,2014.0,6.0,APACHE CORPORATION,20.0,"31.9671, -101.50712",Other,Crude,Producer,62767.0,0,None
5284,Equipment Failure,0.0,MIDLAND,4/2/2014,8,Tank Battery,SHACKELFORD SPRABERRY UNIT,SPRABERRY (TREND AREA),351.0,0.0,25.0,False,"TANK OVERFILLED, USED VACUUM TRUCK, BIOLOGICAL REMEDIATION",18187.0,,2014.0,5.0,"PIONEER NATURAL RES. USA, INC.",20.0,N 31.834633,Other,Crude,Producer,62637.0,0,None
5285,Equipment Failure,0.0,GUADALUPE,4/2/2014,1,Other,"KNOBLOCH, C.",DARST CREEK (EDWARDS),630.0,0.0,1.0,False,"PICKED UP ALL FREE FLUIDS, ON SITE BIOREMEDIATION EFF SOILS,",2796.0,,2014.0,1.0,TEXAS PETROLEUM INVESTMENT CO.,0.0,SUR JOEL ROBINSON A-275,Other,Crude,Producer,62905.0,0,None
5286,Equipment Failure,0.0,HOWARD,4/1/2014,8,Tank Battery,"GLASSCOCK, HOWARD W. (G-S) UNIT",HOWARD GLASSCOCK (CONSOLIDATED),472.0,0.0,15.0,False,"VACUUM TRUCK TO PICK UP STANDING FLUID, REMEDIATE AREA",41062.0,,2014.0,5.0,"SHERIDAN PRODUCTION COMPANY, LLC",10.0,"SEC 15, BLK 33, T2 S, AB 106, SUR T&P RR CO",Other,Crude,Producer,62749.0,0,None
5287,Theft,0.0,ANDREWS,4/1/2014,8,Tank Battery,LINDLEY -C-,FUHRMAN-MASCHO,453.0,0.0,137.0,False,"THEFT OF TANK BATTERY, SHERIFF NOTIFIED, CAMERAS IN PLACE",29005.0,,2014.0,137.0,"ARES ENERGY, LTD.",0.0,"SEC 17, BLK A-47 PSL",Other,Crude,Producer,62730.0,0,None
5288,Equipment Failure,0.0,ANDREWS,4/1/2014,8,Flow Line,BAKKE UNIT,BAKKE (WOLFCAMP),491.0,0.0,10.0,False,"VACUUM TRUCK PICK UP STANDING FLUID, SOILS WERE BLENDED & TILLED",20882.0,,2014.0,5.0,APACHE CORPORATION,5.0,"32.27, -102.5349",Other,Crude,Producer,62768.0,0,None
5289,Company Human Error,0.0,REAGAN,3/31/2014,7C,Other,SUGG-B-,SPRABERRY (TREND AREA),256.0,0.0,1.0,False,PORTABLE FLARE LIT OIL ON FIRE. ALL OIL RELEASED CONSUMED BY FIRE ,16734.0,,2014.0,1.0,"LAREDO PETROLEUM, INC.",0.0,WELL #11N,Other,Crude,Producer,62556.0,0,None
5290,Equipment Failure,0.0,LAVACA,3/30/2014,2,Tank Battery,SCHACHERL UNIT,EAGLEVILLE (EAGLE FORD-2),1330.0,0.0,25.0,False,"SHUT IN WELLS, PICK UP LIQUIDS INSIDE LINED FIREWALL",10035.0,,2014.0,25.0,"PENN VIRGINIA OIL & GAS, L.P.",0.0,H. RUSSELL A-376,Other,Crude,Producer,63605.0,0,None
5291,Equipment Failure,0.0,REEVES,3/30/2014,8,Tank Battery,KATH 3-11,TWO GEORGES (BONE SPRING),441.0,0.0,92.0,False,MADE REPAIRS & BEGAN REMEDIATION IN PLACE,41697.0,,2014.0,2.0,ENERGEN RESOURCES CORPORATION,90.0,"SEC 11, BLK 3, H&GN RR CO SURVEY",Repaired Existing Equipment,Combined,Producer,62718.0,0,None
5292,Equipment Failure,0.0,MIDLAND,3/30/2014,8,Valve,PEARL JAM,SPRABERRY (TREND AREA),440.0,0.0,13.0,False,"FREE STANDING FLUID VACUUM, CLEAN SOIL BROUGHT IN FOR BACKFILING",40265.0,,2014.0,10.0,"RESOLUTE NATURAL RES. CO., LLC",3.0,"SEC 21, BLK 41 T1S, T&P RR CO",Other,Crude,Producer,62717.0,0,None
5293,Equipment Failure,0.0,LOVING,3/30/2014,8,Tank Battery,APC FEE 1-40,PHANTOM (WOLFCAMP),424.0,0.0,43.0,False,"SITE GLASS BROKE RELEASING FLUID, DISPOSE OF WASH FLUIDS",40729.0,,2014.0,3.0,ANADARKO E&P ONSHORE LLC,40.0,"31.660376, -103.456391",Other,Combined,Producer,62707.0,0,None
5294,Equipment Failure,0.0,HOWARD,3/30/2014,8,Tank Battery,BURNETT 17,SPRABERRY (TREND AREA),378.0,0.0,4.0,False,RUPTURE OF THE FIRE TUBE FLANGE GASKET IMMEDIATELY SHUT IN,42795.0,,2014.0,0.0,APACHE CORPORATION,4.0,32.36892,Other,Crude,Producer,62664.0,0,None
5295,Equipment Failure,0.0,GLASSCOCK,3/29/2014,8,Tank Battery,EDMONDSON A,SPRABERRY (TREND AREA),520.0,0.0,13.0,False,VACUUMED FREE FLUID AND REMEDIATED AREA.,43657.0,,2014.0,5.0,"EQT PRODUCTION TEXAS, LLC",8.0,"SEC. 11, BLK. 35 T3S",Other,Crude,Producer,62795.0,0,None
5296,Equipment Failure,0.0,UPTON,3/29/2014,7C,Tank Battery,NEAL,SPRABERRY (TREND AREA),228.0,0.0,7.0,False,VACUUMED FREE FLUID AND REMEDIATED AREA.,17203.0,,2014.0,3.0,CALLON PETROLEUM OPERATING CO,4.0,"LAT. 31 DEG. 17'58.50'N, LONG. 101 DEG. 53'49.61""W",Other,Crude,Producer,62528.0,0,None
5297,Act of God,0.0,MADISON,3/29/2014,3,Tank Battery,STRANGE SWD,GIN CREEK (BUDA),238.0,0.0,510.0,False,STORM DAMAGED OVERFLOW LINE. RELEASED INTO CONTAINMENT.,24722.0,,2014.0,0.0,PALMER PETROLEUM INC.,510.0,"STRANGE SED #1,J. YOUNG SVY. A-247",Other,Crude,Producer,62538.0,0,None
5298,Equipment Failure,0.0,LA SALLE,3/29/2014,1,Flow Line,BURNS RANCH A,BRISCOE RANCH (EAGLEFORD),106.0,0.0,20.0,False,SOIL REMEDIATION PLAN IN PROGRESS,15361.0,,2014.0,20.0,GOODRICH PETROLEUM COMPANY,0.0,"SEC.680, SVY. KEY WEST IRR CO, ABS. 804",Other,Crude,Producer,62409.0,0,None
